strain	virus	assension	date	region	country
HCoV_229E/Seattle/USA/SC1073/2016	seasonal_corona	KY369913	2016-XX-XX	?	usa
1060_Yamagata_2010	seasonal_corona	LC005741	2010-XX-XX	?	japan
J0304	seasonal_corona	JX503061	2009-XX-XX	?	italy
SWE_10724/04	seasonal_corona	FJ235174	2004-03-XX	?	sweden
PUMCH8425	seasonal_corona	HM130814	2009-04-29	?	china
HCoV_229E/Seattle/USA/SC1143/2016	seasonal_corona	KY369910	2016-XX-XX	?	usa
SWE_10697/04	seasonal_corona	FJ235173	2004-03-XX	?	sweden
PUMCH8373	seasonal_corona	HM130812	2009-04-15	?	china
HCOV/KENYA/006/2009	seasonal_corona	KP112148	2014-07-01	?	kenya
PUMCH7980	seasonal_corona	HM130809	2009-01-06	?	china
PUMCH8348	seasonal_corona	HM130811	2009-04-10	?	china
12MYKL0367	seasonal_corona	KT359758	2012-XX-XX	?	malaysia
HCoV_229E/Seattle/USA/SC579/2016	seasonal_corona	KY369908	2016-XX-XX	?	usa
HCoV_229E/human/GER/1812/2010	seasonal_corona	KT253307	2010-XX-XX	?	germany
PUMCH902	seasonal_corona	HM130805	2005-10-12	?	china
12MYKL0126	seasonal_corona	KT359756	2012-XX-XX	?	malaysia
PUMCH898	seasonal_corona	HM130804	2005-10-12	?	china
HCoV_229E/human/GHA/860/2008	seasonal_corona	KT253314	2008-XX-XX	?	ghana
HCoV_229E/human/GER/645/2010	seasonal_corona	KT253312	2010-XX-XX	?	germany
HCoV_229E/human/HKG/HK_2_26B/2002	seasonal_corona	KT253319	2002-XX-XX	?	hong_kong
Arbial_2019	seasonal_corona	MN086824	2019-02-24	?	iraq
PUMCH746	seasonal_corona	HM130800	2005-09-24	?	china
HCoV_229E/human/GBR/KI/1975	seasonal_corona	KT253300	1975-XX-XX	?	united_kingdom
2981A_2011	seasonal_corona	KM055550	2011-XX-XX	?	china
2861A_2011	seasonal_corona	KM055548	2011-XX-XX	?	china
HCoV_229E/human/GER/373/2011	seasonal_corona	KT253308	2011-XX-XX	?	germany
12MYKL0106	seasonal_corona	KT359755	2012-XX-XX	?	malaysia
12MYKL0335	seasonal_corona	KT359757	2012-XX-XX	?	malaysia
229E	seasonal_corona	KF293666	2011-12-13	?	thailand
HCoV_229E/Seattle/USA/SC9731/2016	seasonal_corona	KY369912	2016-XX-XX	?	usa
TN93_3_40	seasonal_corona	KM077070	?	?	usa
PUMCH857	seasonal_corona	HM130802	2005-10-07	?	china
1827A_2010	seasonal_corona	KM055541	2010-XX-XX	?	china
12MYKL1586	seasonal_corona	KT359765	2012-XX-XX	?	malaysia
693A_2008	seasonal_corona	KM055556	2008-XX-XX	?	china
HCoV_229E/human/GER/1551/2010	seasonal_corona	KT253306	2010-XX-XX	?	germany
8339_2009	seasonal_corona	KM055545	2009-XX-XX	?	china
SWE_37253/06	seasonal_corona	FJ235177	2006-03-XX	?	sweden
8348_2009	seasonal_corona	KM055558	2009-XX-XX	?	china
