strain	virus	assession	date	region	country
Cp/Yunnan2011__JX993988	-N/A-	JX993988	2011-XX-XX	china	China
Rp/Shaanxi2011__JX993987	-N/A-	JX993987	2011-09-XX	china	China
BtRf-HeB2013__KJ473812	-N/A-	KJ473812	2013-XX-XX	china	China
BtRf-JL2012__KJ473811	-N/A-	KJ473811	2012-XX-XX	china	China
BtRf-SX2013__KJ473813	-N/A-	KJ473813	2013-XX-XX	china	China
BtRs-GX2013__KJ473815	-N/A-	KJ473815	2013-XX-XX	china	China
BtRs-HuB2013__KJ473814	-N/A-	KJ473814	2013-XX-XX	china	China
BtRs-YN2013__KJ473816	-N/A-	KJ473816	2013-XX-XX	china	China
F46__KU973692	-N/A-	KU973692	2012-XX-XX	china	China
HKU3-1__DQ022305	Severe acute respiratory syndrome-related coronavirus	DQ022305	20XX-XX-XX	china	China
HKU3-10__GQ153545	Severe acute respiratory syndrome-related coronavirus	GQ153545	20XX-XX-XX		
HKU3-11__GQ153546	Severe acute respiratory syndrome-related coronavirus	GQ153546	20XX-XX-XX		
HKU3-12__GQ153547	Severe acute respiratory syndrome-related coronavirus	GQ153547	20XX-XX-XX		
HKU3-13__GQ153548	Severe acute respiratory syndrome-related coronavirus	GQ153548	20XX-XX-XX		
HKU3-2__DQ084199	Severe acute respiratory syndrome-related coronavirus	DQ084199	20XX-XX-XX		
HKU3-3__DQ084200	Severe acute respiratory syndrome-related coronavirus	DQ084200	20XX-XX-XX		
HKU3-4__GQ153539	Severe acute respiratory syndrome-related coronavirus	GQ153539	20XX-XX-XX		
HKU3-5__GQ153540	Severe acute respiratory syndrome-related coronavirus	GQ153540	20XX-XX-XX		
HKU3-6__GQ153541	Severe acute respiratory syndrome-related coronavirus	GQ153541	20XX-XX-XX		
HKU3-7__GQ153542	Severe acute respiratory syndrome-related coronavirus	GQ153542	20XX-XX-XX		
HKU3-8__GQ153543	Severe acute respiratory syndrome-related coronavirus	GQ153543	20XX-XX-XX		
HKU3-9__GQ153544	Severe acute respiratory syndrome-related coronavirus	GQ153544	20XX-XX-XX		
BtCoV/273/2005__DQ648856	Severe acute respiratory syndrome-related coronavirus	DQ648856	20XX-XX-XX		
Rf1__DQ412042	Severe acute respiratory syndrome-related coronavirus	DQ412042	20XX-XX-XX		
BtCoV/279/2005__DQ648857	Severe acute respiratory syndrome-related coronavirus	DQ648857	20XX-XX-XX		
Rm1__DQ412043	Severe acute respiratory syndrome-related coronavirus	DQ412043	20XX-XX-XX		
Rp3__DQ071615	Severe acute respiratory syndrome-related coronavirus	DQ071615	20XX-XX-XX	china	China
civet007__AY572034	Severe acute respiratory syndrome-related coronavirus	AY572034	2004-XX-XX	china	China
SZ16__AY304488	Severe acute respiratory syndrome-related coronavirus	AY304488	2003-XX-XX	china	Hong_Kong
SZ3__AY304486	Severe acute respiratory syndrome-related coronavirus	AY304486	2003-XX-XX	china	Hong_Kong
CFB/SZ/94/03__AY545919	Severe acute respiratory syndrome-related coronavirus	AY545919	2003-XX-XX	china	China
CV7__DQ898174	Severe acute respiratory syndrome-related coronavirus	DQ898174	20XX-XX-XX	north_america	Canada
HC/GZ/32/03__AY545918	Severe acute respiratory syndrome-related coronavirus	AY545918	2003-XX-XX	china	China
HC/GZ/81/03__AY545917	Severe acute respiratory syndrome-related coronavirus	AY545917	2003-XX-XX	china	China
HC/SZ/266/03__AY545916	Severe acute respiratory syndrome-related coronavirus	AY545916	2003-XX-XX	china	China
HC/SZ/79/03__AY545914	Severe acute respiratory syndrome-related coronavirus	AY545914	2003-XX-XX	china	China
HC/SZ/DM1/03__AY545915	Severe acute respiratory syndrome-related coronavirus	AY545915	2003-XX-XX	china	China
MA-15__DQ497008	Severe acute respiratory syndrome-related coronavirus	DQ497008	20XX-XX-XX		
ModifiedMicrobialNucleicAcid__FV537210	Severe acute respiratory syndrome-related coronavirus	FV537210	20XX-XX-XX		
ModifiedMicrobialNucleicAcid__FV537211	Severe acute respiratory syndrome-related coronavirus	FV537211	20XX-XX-XX		
ModifiedMicrobialNucleicAcid__FV537212	Severe acute respiratory syndrome-related coronavirus	FV537212	20XX-XX-XX		
Sequence1fromPatentWO2004096842__CQ918584	Severe acute respiratory syndrome-related coronavirus	CQ918584	20XX-XX-XX		
Sequence1fromPatentWO2006039656__CS569493	Severe acute respiratory syndrome-related coronavirus	CS569493	20XX-XX-XX		
Sequence11fromPatentEP1736539__CS460762	Severe acute respiratory syndrome-related coronavirus	CS460762	20XX-XX-XX		
Sequence11fromPatentWO2006136448__CS480537	Severe acute respiratory syndrome-related coronavirus	CS480537	20XX-XX-XX		
Sequence14fromPatentWO2005035556__CS079026	Severe acute respiratory syndrome-related coronavirus	CS079026	20XX-XX-XX		
Sequence15fromPatentWO2004096842__CQ918598	Severe acute respiratory syndrome-related coronavirus	CQ918598	20XX-XX-XX		
Sequence2fromPatentWO2004096842__CQ918585	Severe acute respiratory syndrome-related coronavirus	CQ918585	20XX-XX-XX		
Sequence41fromPatentEP2139515__HI553383	Severe acute respiratory syndrome-related coronavirus	HI553383	20XX-XX-XX		
Sequence67fromPatentWO2004011647__CS254197	Severe acute respiratory syndrome-related coronavirus	CS254197	20XX-XX-XX		
UNKNOWN-DJ045279__DJ045279	Severe acute respiratory syndrome-related coronavirus	DJ045279	20XX-XX-XX		
A022__AY686863	Severe acute respiratory syndrome-related coronavirus	AY686863	2004-XX-XX		
AS__AY427439	Severe acute respiratory syndrome-related coronavirus	AY427439	2003-XX-XX		
B039__AY686864	Severe acute respiratory syndrome-related coronavirus	AY686864	2004-XX-XX		
BJ01__AY278488	Severe acute respiratory syndrome-related coronavirus	AY278488	2003-XX-XX		
BJ02__AY278487	Severe acute respiratory syndrome-related coronavirus	AY278487	2003-XX-XX		
BJ03__AY278490	Severe acute respiratory syndrome-related coronavirus	AY278490	20XX-XX-XX		
BJ04__AY279354	Severe acute respiratory syndrome-related coronavirus	AY279354	2003-XX-XX		
BJ162__AY864805	Severe acute respiratory syndrome-related coronavirus	AY864805	20XX-XX-XX	china	China
BJ182-12__EU371564	Severe acute respiratory syndrome-related coronavirus	EU371564	20XX-XX-XX		
BJ182-4__EU371562	Severe acute respiratory syndrome-related coronavirus	EU371562	20XX-XX-XX		
BJ182-8__EU371563	Severe acute respiratory syndrome-related coronavirus	EU371563	20XX-XX-XX		
BJ182a__EU371560	Severe acute respiratory syndrome-related coronavirus	EU371560	20XX-XX-XX		
BJ182b__EU371561	Severe acute respiratory syndrome-related coronavirus	EU371561	20XX-XX-XX		
BJ202__AY864806	Severe acute respiratory syndrome-related coronavirus	AY864806	20XX-XX-XX		
CDC#200301157__AY714217	Severe acute respiratory syndrome-related coronavirus	AY714217	2003-XX-XX	north_america	USA
civet010__AY572035	Severe acute respiratory syndrome-related coronavirus	AY572035	2004-XX-XX	china	China
civet020__AY572038	Severe acute respiratory syndrome-related coronavirus	AY572038	2004-XX-XX	china	China
CUHK-AG01__AY345986	Severe acute respiratory syndrome-related coronavirus	AY345986	2003-XX-XX		
CUHK-AG02__AY345987	Severe acute respiratory syndrome-related coronavirus	AY345987	2003-XX-XX		
CUHK-AG03__AY345988	Severe acute respiratory syndrome-related coronavirus	AY345988	2003-XX-XX		
CUHK-Su10__AY282752	Severe acute respiratory syndrome-related coronavirus	AY282752	2003-XX-XX		
CUHK-W1__AY278554	Severe acute respiratory syndrome-related coronavirus	AY278554	2003-XX-XX	china	China
FRA__AY310120	Severe acute respiratory syndrome-related coronavirus	AY310120	2003-XX-XX		
Frankfurt1__AB257344	Severe acute respiratory syndrome-related coronavirus	AB257344	2003-XX-XX		
Frankfurt1__AY291315	Severe acute respiratory syndrome-related coronavirus	AY291315	2003-XX-XX		
GD01__AY278489	Severe acute respiratory syndrome-related coronavirus	AY278489	2003-XX-XX		
GD69__AY313906	Severe acute respiratory syndrome-related coronavirus	AY313906	2003-XX-XX	china	China
GDH-BJH01__DQ640652	Severe acute respiratory syndrome-related coronavirus	DQ640652	20XX-XX-XX	china	China
GZ-B__AY394978	Severe acute respiratory syndrome-related coronavirus	AY394978	20XX-XX-XX		
GZ-C__AY394979	Severe acute respiratory syndrome-related coronavirus	AY394979	20XX-XX-XX		
GZ02__AY390556	Severe acute respiratory syndrome-related coronavirus	AY390556	2003-XX-XX	china	China
GZ0401__AY568539	Severe acute respiratory syndrome-related coronavirus	AY568539	2004-XX-XX	china	China
GZ0402__AY613947	Severe acute respiratory syndrome-related coronavirus	AY613947	2004-XX-XX	china	China
GZ50__AY304495	Severe acute respiratory syndrome-related coronavirus	AY304495	2003-XX-XX	china	Hong_Kong
HC/SZ/61/03__AY515512	Severe acute respiratory syndrome-related coronavirus	AY515512	20XX-XX-XX	china	China
HGZ8L2__AY394993	Severe acute respiratory syndrome-related coronavirus	AY394993	2003-XX-XX		
HKU-39849__AY278491	Severe acute respiratory syndrome-related coronavirus	AY278491	2003-XX-XX		
HSR1__AY323977	Severe acute respiratory syndrome-related coronavirus	AY323977	20XX-XX-XX	europe	Italy
HSZ-Bb__AY394985	Severe acute respiratory syndrome-related coronavirus	AY394985	20XX-XX-XX		
HSZ-Bc__AY394994	Severe acute respiratory syndrome-related coronavirus	AY394994	20XX-XX-XX		
HSZ-Cb__AY394986	Severe acute respiratory syndrome-related coronavirus	AY394986	20XX-XX-XX		
HSZ-Cc__AY394995	Severe acute respiratory syndrome-related coronavirus	AY394995	2003-XX-XX		
HSZ2-A__AY394983	Severe acute respiratory syndrome-related coronavirus	AY394983	20XX-XX-XX		
HZS2-C__AY394992	Severe acute respiratory syndrome-related coronavirus	AY394992	20XX-XX-XX		
HZS2-D__AY394989	Severe acute respiratory syndrome-related coronavirus	AY394989	20XX-XX-XX		
HZS2-E__AY394990	Severe acute respiratory syndrome-related coronavirus	AY394990	20XX-XX-XX		
HZS2-Fb__AY394987	Severe acute respiratory syndrome-related coronavirus	AY394987	20XX-XX-XX		
HZS2-Fc__AY394991	Severe acute respiratory syndrome-related coronavirus	AY394991	2003-XX-XX		
LC1__AY394998	Severe acute respiratory syndrome-related coronavirus	AY394998	20XX-XX-XX		
LC2__AY394999	Severe acute respiratory syndrome-related coronavirus	AY394999	20XX-XX-XX		
LC3__AY395000	Severe acute respiratory syndrome-related coronavirus	AY395000	20XX-XX-XX		
LC4__AY395001	Severe acute respiratory syndrome-related coronavirus	AY395001	20XX-XX-XX		
LC5__AY395002	Severe acute respiratory syndrome-related coronavirus	AY395002	2003-XX-XX		
LLJ-2004__AY595412	Severe acute respiratory syndrome-related coronavirus	AY595412	20XX-XX-XX		
NS-1__AY508724	Severe acute respiratory syndrome-related coronavirus	AY508724	20XX-XX-XX		
