strain	virus	assension	date	region	country
DENV1/VIETNAM/BIDV1862/2008	dengue	FJ410220	2008-XX-XX	southeast_asia	vietnam
DENV3/WALLIS_AND_FUTUNA/1404838/1989	dengue	JQ920487	1989-08-14	?	wallis_and_futuna
DENV/BRAZIL/SJRP778/2013	dengue	KT438585	2013-02-04	south_america	brazil
DENV3/VENEZUELA/L6700/2001	dengue	HM348817	2001-XX-XX	south_america	venezuela
DENV1/VENEZUELA/BIDV2254/2005	dengue	FJ639814	2005-XX-XX	south_america	venezuela
DENV3/NICARAGUA/BIDV4829/2009	dengue	HQ891025	2009-XX-XX	north_america	nicaragua
DENV3/VIETNAM/BIDV1783/2007	dengue	FJ432728	2007-XX-XX	southeast_asia	vietnam
DENV1/MYANMAR/438266601/NA	dengue	DQ264965	?	southeast_asia	myanmar
DENV4/VENEZUELA/BIDV1156/2007	dengue	GQ868645	2007-XX-XX	south_america	venezuela
DENV1/MEXICO/18/2007	dengue	HM171565	2007-XX-XX	europe	spain
DENV1/NEW_CALEDONIA/170256/2012	dengue	KC316020	2012-02-17	oceania	new_caledonia
DENV/PERU/FPU0574R/2012	dengue	KC847995	2012-XX-XX	south_america	peru
DENV1/CHINA/FJ216/2014	dengue	KU570108	2014-XX-XX	china	china
DENV1/VIETNAM/QUYNHON138020JUN/2009	dengue	KC861963	2009-XX-XX	southeast_asia	vietnam
DENV4/INDONESIA/JMB005/2014	dengue	KU529755	2014-XX-XX	southeast_asia	indonesia
DENV2/CAMBODIA/BIDV2062/2007	dengue	GQ868624	2007-XX-XX	southeast_asia	cambodia
DENV1/USA/DB081/2010	dengue	JQ425070	2010-XX-XX	north_america	usa
DENV2/SINGAPORE/DED456/2008	dengue	GQ357758	2008-XX-XX	southeast_asia	singapore
DENV2/SINGAPORE/95/2009	dengue	JN196586	2009-XX-XX	southeast_asia	singapore
DENV4/BRAZIL/GUSP0316/2013	dengue	KP703917	2013-03-03	south_america	brazil
DENV2/THAILAND/NHP14/1993	dengue	AF022439	1993-XX-XX	southeast_asia	thailand
DENV2/THAILAND/BIDV2309/2001	dengue	FJ744723	2001-XX-XX	southeast_asia	thailand
DENV1/PARAGUAY/LM54/2011	dengue	KF419424	2011-XX-XX	south_america	paraguay
DENV2/THAILAND/0307/1983	dengue	DQ181838	1983-XX-XX	southeast_asia	thailand
DENV4/NA/LD32GZ1990/NA	dengue	JQ317777	?	?	?
DENV3/PAKISTAN/E52/2011	dengue	KM226345	2011-08-XX	west_asia	pakistan
DENV2/VENEZUELA/15957/NA	dengue	AY577434	?	south_america	venezuela
DENV2/THAILAND/30964/2001	dengue	EU117318	2001-XX-XX	southeast_asia	thailand
DENV2/SINGAPORE/0778/2009	dengue	JN380822	2009-XX-XX	southeast_asia	singapore
DENV3/VIETNAM/07ATW/2009	dengue	JF968077	2009-XX-XX	southeast_asia	vietnam
DENV3/CHINA/07CHLS001/2008	dengue	EU367962	2008-XX-XX	china	china
DENV3/NICARAGUA/BIDV4856/2009	dengue	HQ671176	2009-XX-XX	north_america	nicaragua
DENV1/THAILAND/AILANDKPPKDV06233KT02435V/2006	dengue	JQ993122	2006-XX-XX	southeast_asia	thailand
DENV3/VENEZUELA/BIDV2479/2007	dengue	KF955481	2007-XX-XX	south_america	venezuela
DENV2/THAILAND/AILANDKPPKDS01228NC06SCHOLS11/2004	dengue	JQ993220	2004-XX-XX	southeast_asia	thailand
DENV1/NICARAGUA/BIDV602/2005	dengue	FJ024483	2005-XX-XX	north_america	nicaragua
DENV4/THAILAND/033393/NA	dengue	AY618969	?	southeast_asia	thailand
DENV1/MYANMAR/MOS0592101/NA	dengue	DQ265062	?	southeast_asia	myanmar
DENV2/VIETNAM/BIDV715/2006	dengue	EU482652	2006-XX-XX	southeast_asia	vietnam
DENV3/ARUBA/ARU1/1999	dengue	HM348812	1999-XX-XX	south_america	aruba
DENV1/INDONESIA/01ATW/2009	dengue	JF967854	2009-XX-XX	southeast_asia	indonesia
DENV1/SINGAPORE/DED1459/2008	dengue	GQ357684	2008-XX-XX	southeast_asia	singapore
DENV1/VENEZUELA/BIDV3561/2006	dengue	JN819415	2006-XX-XX	south_america	venezuela
DENV1/FRENCH_POLYNESIA/FP895103/NA	dengue	AY630408	?	oceania	french_polynesia
DENV1/NA/4642CAMPECHE95/NA	dengue	DQ341193	?	?	?
DENV1/VIETNAM/VIETM10DX2318013000MG48HRS/NA	dengue	JQ045661	?	southeast_asia	vietnam
DENV1/TAIWAN/832/1994	dengue	AB608788	1994-XX-XX	china	taiwan
DENV4/INDONESIA/08ATW/2009	dengue	JF967775	2009-XX-XX	southeast_asia	indonesia
DENV3/THAILAND/0006/1997	dengue	AY676364	1997-XX-XX	southeast_asia	thailand
DENV1/VIETNAM/BIDV935/2006	dengue	EU482480	2006-XX-XX	southeast_asia	vietnam
