strain	virus	assention	date	region	country
A/Perth/16/2009	flu	EPI182942	2009-04-07	oceania	australia
A/Brisbane/10/2007	flu	EPI385929	2007-XX-XX	oceania	australia
A/Wisconsin/67/2005	flu	EPI367112	2005-XX-XX	north_america	usa
A/Delhi/1720/2013	flu	EPI527734	2013-02-20	south_asia	india
A/SaudiArabia/6/2014	flu	EPI966185	2014-10-02	west_asia	saudi_arabia
A/Peru/PER272/2010	flu	EPI496750	2010-10-16	south_america	peru
A/Hyogo/10K034/2011	flu	EPI340629	2011-01-17	japan_korea	japan
A/CzechRepublic/119/2012	flu	EPI398607	2012-02-28	europe	czech_republic
A/Tehran/1219/2012	flu	EPI446793	2012-01-28	west_asia	iran
A/Helsinki/942/2013	flu	EPI489611	2013-02-27	europe	finland
