strain	virus	assension	date	region	country
BJ8081	seasonal_corona	DQ846901	?	?	china
TN93_10_23	seasonal_corona	KM077074	?	?	usa
Athens.GR/73/07	seasonal_corona	KX866388	2007-01-05	?	greece
CU_682	seasonal_corona	GQ856807	2006-XX-XX	?	hong_kong
HCoV/NL63/N01	seasonal_corona	GU068568	2006-12-04	?	china
NL63/DEN/2010/31	seasonal_corona	JQ771058	2010-12-11	?	usa
12MYKL0736	seasonal_corona	KT359876	2012-XX-XX	?	malaysia
NL63/human/USA/911_56/1991	seasonal_corona	KF530107	1991-01-24	?	usa
TN92_5_25	seasonal_corona	KM077086	?	?	usa
HCOV/KENYA/003/2009	seasonal_corona	KP112153	2014-07-01	?	kenya
Kilifi/HH/0512/04_Jun_2010	seasonal_corona	MG356426	2010-06-04	?	kenya
ChinaGD04	seasonal_corona	MK334047	2018-07-25	?	china
ChinaGD11	seasonal_corona	MK342130	2018-08-15	?	china
Kilifi/HH/5402/20_May_2010	seasonal_corona	MG356419	2010-05-20	?	kenya
V110138	seasonal_corona	FJ656174	2007-03-XX	?	sweden
12MYKL1288	seasonal_corona	KT359904	2012-XX-XX	?	malaysia
NL63	seasonal_corona	MF996622	2010-XX-XX	?	australia
CU_U0348	seasonal_corona	GQ856812	2005-XX-XX	?	hong_kong
CU_616	seasonal_corona	GQ856803	2006-XX-XX	?	hong_kong
Kilifi_HH_0511_01_Jun_2010	seasonal_corona	MG428703	2010-06-01	?	kenya
Kilifi/HH/5401/20_May_2010	seasonal_corona	MG356421	2010-05-20	?	kenya
GS05_2009	seasonal_corona	KM055630	2009-XX-XX	?	china
hCoV/NL63/VFC43/BRA/2006	seasonal_corona	JN251788	2006-XX-XX	?	brazil
909A_2008	seasonal_corona	KM055645	2008-XX-XX	?	china
Baghdad_2018	seasonal_corona	MN086823	2018-12-26	?	iraq
TN01_2_31	seasonal_corona	KM077078	?	?	usa
225A_2007	seasonal_corona	KM055640	2007-XX-XX	?	china
12MYKL1350	seasonal_corona	KT359908	2012-XX-XX	?	malaysia
Kilifi/IP/014/21_Aug_2012	seasonal_corona	MG356437	2012-08-21	?	kenya
NL63/DEN/2010/36	seasonal_corona	JQ771060	2010-12-30	?	usa
N07_6B	seasonal_corona	KY674915	2016-XX-XX	?	usa
CU_U0355	seasonal_corona	GQ856813	2005-XX-XX	?	hong_kong
PUMCH868	seasonal_corona	HM130750	2005-10-08	?	china
NL63/DEN/2005/193	seasonal_corona	JQ765568	2005-01-11	?	usa
971A_2008	seasonal_corona	KM055643	2008-XX-XX	?	china
12MYKL1229	seasonal_corona	KT359902	2012-XX-XX	?	malaysia
NL63/DEN/2010/28	seasonal_corona	JQ771057	2010-12-03	?	usa
HCoVNL63/Tokyo/SGH_24/2018	seasonal_corona	LC488388	2018-XX-XX	?	japan
NL63/FRA_EPI/Caen/2005/04	seasonal_corona	KY862051	2005-02-23	?	france
INMI4	seasonal_corona	EU125189	?	?	italy
NL63/human/USA/891_4/1989	seasonal_corona	KF530114	1989-01-03	?	usa
1023A_2008	seasonal_corona	KM055634	2008-XX-XX	?	china
TN96_1_29	seasonal_corona	KM077075	?	?	usa
