strain	virus	assension	date	region	country
PAN/CDC_259359_V1_V3/2015	zika	KX156774	2015-12-18	north_america	panama
COL/FLR_00024/2015	zika	MF574569	2015-12-XX	south_america	colombia
PRVABC59	zika	KU501215	2015-12-XX	north_america	puerto_rico
COL/FLR_00008/2015	zika	MF574562	2015-12-XX	south_america	colombia
Colombia/2016/ZC204Se	zika	KY317939	2016-01-06	south_america	colombia
ZKC2/2016	zika	KX253996	2016-02-16	oceania	american_samoa
VEN/UF_1/2016	zika	KX702400	2016-03-25	south_america	venezuela
DOM/2016/BB_0059	zika	KY785425	2016-04-04	north_america	dominican_republic
BRA/2016/FC_6706	zika	KY785433	2016-04-08	south_america	brazil
DOM/2016/BB_0183	zika	KY785420	2016-04-18	north_america	dominican_republic
EcEs062_16	zika	KX879603	2016-04-XX	south_america	ecuador
HND/2016/HU_ME59	zika	KY785418	2016-05-13	north_america	honduras
DOM/2016/MA_WGS16_011	zika	KY785484	2016-06-06	north_america	dominican_republic
DOM/2016/BB_0433	zika	KY785441	2016-06-13	north_america	dominican_republic
USA/2016/FL022	zika	KY075935	2016-07-22	north_america	usa
SG_027	zika	KY241697	2016-08-27	southeast_asia	singapore
SG_074	zika	KY241744	2016-08-28	southeast_asia	singapore
SG_056	zika	KY241726	2016-08-28	southeast_asia	singapore
USA/2016/FLUR022	zika	KY325473	2016-08-31	north_america	usa
Aedes_aegypti/USA/2016/FL05	zika	KY075937	2016-09-09	north_america	usa
SG_018	zika	KY241688	2016-09-13	southeast_asia	singapore
USA/2016/FLWB042	zika	KY325478	2016-09-26	north_america	usa
COL/PRV_00028/2015	zika	MF574578	2016-12-XX	south_america	colombia
Thailand/1610acTw	zika	MF692778	2016-10-XX	southeast_asia	thailand
1_0087_PF	zika	KX447509	2013-12-XX	oceania	french_polynesia
1_0199_PF	zika	KX447519	2013-11-XX	oceania	french_polynesia
1_0181_PF	zika	KX447512	2013-12-XX	oceania	french_polynesia
Brazil/2015/ZBRC301	zika	KY558995	2015-05-13	south_america	brazil
Brazil/2015/ZBRA105	zika	KY558989	2015-02-23	south_america	brazil
Brazil/2016/ZBRC16	zika	KY558991	2016-01-19	south_america	brazil
V8375	zika	KU501217	2015-11-01	north_america	guatemala
Nica1_16	zika	KX421195	2016-01-19	north_america	nicaragua
Brazil/2015/ZBRC303	zika	KY558997	2015-05-14	south_america	brazil
SMGC_1	zika	KX266255	2016-02-14	oceania	american_samoa
