strain	virus	assention	date	region	country
A/Perth/16/2009	flu	EPI307676	2009-04-07	oceania	australia
A/Brisbane/10/2007	flu	EPI125691	2007-XX-XX	oceania	australia
A/Wisconsin/67/2005	flu	EPI106424	2005-XX-XX	north_america	usa
A/Victoria/208/2009	flu	EPI545343	2009-06-02	oceania	australia
A/Alabama/5/2010	flu	EPI427058	2010-07-13	north_america	usa
A/RhodeIsland/1/2010	flu	EPI390310	2010-01-26	north_america	usa
A/Perth/10/2010	flu	EPI390117	2010-05-25	oceania	australia
A/Victoria/210/2009	flu	EPI609265	2009-06-02	oceania	australia
A/Delhi/1720/2013	flu	EPI527682	2013-02-20	south_asia	india
A/SaudiArabia/6/2014	flu	EPI966136	2014-10-02	west_asia	saudi_arabia
A/Peru/PER272/2010	flu	EPI496744	2010-10-16	south_america	peru
A/Hyogo/10K034/2011	flu	EPI340514	2011-01-17	japan_korea	japan
A/CzechRepublic/119/2012	flu	EPI398605	2012-02-28	europe	czech_republic
A/Tehran/1219/2012	flu	EPI446792	2012-01-28	west_asia	iran
A/Helsinki/942/2013	flu	EPI489613	2013-02-27	europe	finland
