strain	virus	assention	date	region	country
KNIH_2K70198	seasonal_corona	JN234450	2007-01-XX	?	south_korea
HKU1/HTBEC_lab/BRA/HKU1_21/2006	seasonal_corona	KF430198	2006-XX-XX	?	brazil
12MYKL0181	seasonal_corona	KR055533	2012-XX-XX	?	malaysia
HKU1/human/USA/HKU1_1/2005	seasonal_corona	KF686338	2005-02-18	?	usa
12MYKL1061	seasonal_corona	KR055545	2012-XX-XX	?	malaysia
N08_87	seasonal_corona	KY674921	2016-XX-XX	?	usa
N09_1663B	seasonal_corona	KY674941	2016-XX-XX	?	usa
KNIH_2K72142	seasonal_corona	JN234455	2007-02-XX	?	south_korea
KNIH_2K73164	seasonal_corona	JN234457	2007-04-XX	?	south_korea
HKU1/human/USA/1102/2005	seasonal_corona	KF850450	2005-04-09	?	usa
KNHI_2K85305	seasonal_corona	JN234496	2008-05-XX	?	south_korea
KNHI_2K70536	seasonal_corona	JN234480	2007-01-XX	?	south_korea
KNHI_2K73103	seasonal_corona	JN234487	2007-03-XX	?	south_korea
HKU1/SLO/39999/2013	seasonal_corona	KX059694	2013-12-20	?	slovenia
HKU1/SLO/63860/2016	seasonal_corona	KX059665	2016-02-28	?	slovenia
CU_H2238/2010	seasonal_corona	JX513213	2010-08-26	?	thailand
PREDICT_13QY028	seasonal_corona	KX898512	2013-XX-XX	?	china
PUMCH2970	seasonal_corona	HM130742	2006-07-29	?	china
PUMCH1946	seasonal_corona	HM130738	2006-03-28	?	china
V37113	seasonal_corona	FJ656146	2006-02-XX	?	sweden
V10633	seasonal_corona	FJ656137	2004-02-XX	?	sweden
13MYKL1997	seasonal_corona	KR055553	2013-XX-XX	?	malaysia
KNIH_2K85305	seasonal_corona	JN234464	2008-05-XX	?	south_korea
KNHI_2K82882	seasonal_corona	JN234491	2008-03-XX	?	south_korea
12MYKL0323	seasonal_corona	KR055534	2012-XX-XX	?	malaysia
QPID04_0043	seasonal_corona	JQ732201	2004-07-20	?	australia
12MYKL0841	seasonal_corona	KR055543	2012-XX-XX	?	malaysia
hCoV/HKU1/VFC131/BRA/2007	seasonal_corona	JN251792	2007-XX-XX	?	brazil
HKU1/SLO/61443/2015	seasonal_corona	KX059666	2015-12-31	?	slovenia
BJET2	seasonal_corona	KP113659	2010-09-XX	?	china
LZ437	seasonal_corona	FJ937650	?	?	china
V10701	seasonal_corona	FJ656142	2004-03-XX	?	sweden
KNHI_2K83058	seasonal_corona	JN234492	2008-04-XX	?	south_korea
KNHI_2K85295	seasonal_corona	JN234495	2008-05-XX	?	south_korea
V37019	seasonal_corona	FJ656143	2006-01-XX	?	sweden
HKU1/SLO/60867/2015	seasonal_corona	KX059679	2015-12-21	?	slovenia
HKU1/SLO/62985/2016	seasonal_corona	KX059692	2016-02-10	?	slovenia
CU_H2809/2010	seasonal_corona	JX513214	2010-12-09	?	thailand
QPID04_0044	seasonal_corona	JQ732202	2004-07-16	?	australia
HKU1/SLO/61456/2016	seasonal_corona	KX059681	2016-01-08	?	slovenia
HKU1/human/USA/HKU1_15/2009	seasonal_corona	KF686344	2009-12-28	?	usa
LZ447	seasonal_corona	FJ937655	?	?	china
KNHI_2K71411	seasonal_corona	JN234482	2007-01-XX	?	south_korea
HKU1/SLO/60004/2015	seasonal_corona	KX059672	2015-11-17	?	slovenia
HKU1/SLO/60781/2015	seasonal_corona	KX059678	2015-12-17	?	slovenia
HKU1/human/USA/HKU1_4/2005	seasonal_corona	KF430196	2005-04-19	?	usa
HKU1/SLO/20580/2010	seasonal_corona	KX059667	2010-04-04	?	slovenia
KNIH_2K71038	seasonal_corona	JN234467	2007-01-XX	?	south_korea
BRA37	seasonal_corona	GU904424	1995-04-25	?	brazil
HKU1/SLO/62556/2016	seasonal_corona	KX059686	2016-02-01	?	slovenia
China/Beijing/2009/s45	seasonal_corona	KR607992	2009-XX-XX	?	china
HKU1/SLO/62213/2016	seasonal_corona	KX059664	2016-01-25	?	slovenia
LZ439	seasonal_corona	FJ937651	?	?	china
KNIH_2K73103	seasonal_corona	JN234456	2007-03-XX	?	south_korea
China/Beijing/2009/s44	seasonal_corona	KR607991	2009-XX-XX	?	china
HKU1/SLO/42161/2014	seasonal_corona	KX059691	2014-02-16	?	slovenia
HKU1/SLO/60558/2015	seasonal_corona	KX059675	2015-12-07	?	slovenia
LZ134	seasonal_corona	FJ937644	?	?	china
V37130	seasonal_corona	FJ656127	2006-02-XX	?	sweden
PUMCH6767	seasonal_corona	HM130747	2008-02-27	?	china
QPID04_0041	seasonal_corona	JQ732198	2004-07-20	?	australia
KNHI_2K80535	seasonal_corona	JN234490	2008-03-XX	?	south_korea
SC2628	seasonal_corona	KY983584	2015-XX-XX	?	usa
BJET3	seasonal_corona	KP113660	2010-09-XX	?	china
HKU1/SLO/60422/2015	seasonal_corona	KX059673	2015-12-02	?	slovenia
BJ01_p9	seasonal_corona	KT779556	2009-04-23	?	china
KNHI_2K84566	seasonal_corona	JN234493	2008-04-XX	?	south_korea
KNHI_2K71415	seasonal_corona	JN234483	2007-01-XX	?	south_korea
LZ391	seasonal_corona	FJ937646	?	?	china
LZ393	seasonal_corona	FJ937647	?	?	china
BJ321	seasonal_corona	KM676088	2014-05-XX	?	china
