strain	virus	assention	date	region	country
Hu/UAE_023_2014	mers	KY581691	2014-04-14	west_asia	united_arab_emirates
MERS-CoV/KOR/Seoul/080-3-2015	mers	KX034097	2015-06-17	japan_korea	south_korea
camel/UAE_B13_2015	mers	MF598605	2015-03-XX	west_asia	united_arab_emirates
Tunisia-Qatar_2013	mers	KF811035	2013-05-08	africa	tunisia
MERS-CoV/camel/Egypt/NRCE-NC748/2015	mers	KU942363	2015-04-01	africa	egypt
camel/Jeddah/S99/2014	mers	KT368857	2014-09-XX	west_asia	saudi_arabia
camel/UAE_B71_2015	mers	MF598661	2015-03-XX	west_asia	united_arab_emirates
Jeddah_C7319/KSA/2014	mers	KM027267	2014-XX-XX	west_asia	saudi_arabia
15	mers	MF133450	2015-07-11	africa	sudan
camel/UAE_414492_W3_2015	mers	MF598708	2015-04-XX	west_asia	united_arab_emirates
MERS-CoV/KOR/CNUH_SNU/024_06_2015	mers	KT717698	2015-06-08	japan_korea	south_korea
camel/Taif/T91(b)/2015	mers	KT368886	2015-04-XX	west_asia	saudi_arabia
Jordan/camel/33/2016	mers	KX443674	2016-05-19	west_asia	jordan
MERS-CoV/Egypt-NC2610/2015	mers	KX710313	2015-12-XX	africa	egypt
camel/Jeddah/401/2014	mers	KT368827	2014-09-XX	west_asia	saudi_arabia
KSA_Riyadh-6	mers	KX960120	2015-08-01	west_asia	saudi_arabia
Hu/Jeddah-KSA-RS15/2015	mers	KT805999	2015-04-01	west_asia	saudi_arabia
UAE-17-2014	mers	KP202200	2014-XX-XX	west_asia	united_arab_emirates
MERS-CoV/camel/Egypt/NRCE-NC752/2015	mers	KU942364	2015-04-01	africa	egypt
Hu/Riyadh-KSA-16098/2015	mers	KU851864	2015-08-24	west_asia	saudi_arabia
Jordan/camel/14/2016	mers	KX443665	2016-05-18	west_asia	jordan
Hafr-Al-Batin_4c_2013	mers	KJ156864	2013-08-25	west_asia	saudi_arabia
Al-Ahsa_KSA_Camel_C8	mers	KP405225	2013-12-XX	west_asia	saudi_arabia
Al-Ahsa_KSA_Camel_C9	mers	KP405227	2013-12-XX	west_asia	saudi_arabia
MERS-CoV_camel/Nigeria/NV1657/2016	mers	MG923475	2016-02-03	africa	nigeria
Al-Ahsa_KSA_Camel_C7	mers	KP405226	2013-11-XX	west_asia	saudi_arabia
camel/Jeddah/Jd4/2015	mers	KT368859	2015-01-XX	west_asia	saudi_arabia
Al-Hasa_22d_2013	mers	KF600619	2013-05-09	west_asia	saudi_arabia
Hu-France_-_FRA2_130569-2013_IS_HTS	mers	KJ361501	2013-05-07	europe	france
Riyadh_2014KSA_695/KSA/2014	mers	KM027292	2014-XX-XX	west_asia	saudi_arabia
camel/UAE_B64_2015	mers	MF598654	2015-03-XX	west_asia	united_arab_emirates
camel/UAE_B111_2015	mers	MF598698	2015-03-XX	west_asia	united_arab_emirates
Hu/Riyadh-KSA-13984/2016	mers	MG011342	2016-03-07	west_asia	saudi_arabia
Al-Hasa_22e_2013	mers	KF600631	2013-05-09	west_asia	saudi_arabia
Hu/Riyadh-KSA-031D1N/2015	mers	MG757603	2015-09-18	west_asia	saudi_arabia
Hu/Riyadh-KSA-K37029157/2016	mers	MG011362	2016-12-25	west_asia	saudi_arabia
Jeddah-air-1-2014	mers	KJ740998	2013-11-08	west_asia	saudi_arabia
Jordan/camel/29/2016	mers	KX443670	2016-05-19	west_asia	jordan
Hafr-Al-Batin_4a_2013	mers	KJ156931	2013-08-25	west_asia	saudi_arabia
camel/Jeddah/F13A/2014	mers	KT368824	2014-05-XX	west_asia	saudi_arabia
MERS-CoV/KOR/CNUH_SNU/082_06_2015	mers	KT868872	2015-06-10	japan_korea	south_korea
Qatar4	mers	KF961222	2013-10-17	west_asia	qatar
Hu/Rass-KSA-3318/2015	mers	KT806003	2015-02-13	west_asia	saudi_arabia
Hu/Taif/KSA-7032/2014/S530del	mers	KU710265	2014-11-04	west_asia	saudi_arabia
camel/UAE_414486_W4_2015	mers	MF598716	2015-04-XX	west_asia	united_arab_emirates
Hafr-Al-Batin_6_2013	mers	KJ156874	2013-08-28	west_asia	saudi_arabia
Al-Hasa_23e_2013	mers	KJ156862	2013-05-13	west_asia	saudi_arabia
KSA_Riyadh-4	mers	KX960119	2015-08-01	west_asia	saudi_arabia
Al-Hasa_2_2013	mers	KF186566	2013-04-21	west_asia	saudi_arabia
Riyadh_15b_2013	mers	KJ156877	2013-08-19	west_asia	saudi_arabia
Hu/Riyadh-KSA-11740/2016	mers	KX154685	2016-02-XX	west_asia	saudi_arabia
Riyadh_1162/KSA/2014	mers	KT357807	2014-XX-XX	west_asia	saudi_arabia
camel/UAE_B74_2015	mers	MF598664	2015-03-XX	west_asia	united_arab_emirates
Jeddah_C10306/KSA/2014-04-20	mers	KM027260	2014-04-21	west_asia	saudi_arabia
KSA_Riyadh-9	mers	KX960121	2015-08-01	west_asia	saudi_arabia
Hu/Riyadh-KSA-3160/2015	mers	KT805968	2015-02-15	west_asia	saudi_arabia
Camel/UAE_1H-D_2014	mers	KY581697	2014-02-18	west_asia	united_arab_emirates
Camel/Qatar_2_2014	mers	KJ650098	2014-02-16	west_asia	qatar
KOREA/Seoul/163-1-2015	mers	KT374051	2015-06-19	japan_korea	south_korea
Hu/Quwaiyah-KSA-3405/2015	mers	KT805966	2015-02-20	west_asia	saudi_arabia
D1189.1/15	mers	KX108946	2015-05-18	west_asia	united_arab_emirates
UAE-6-2014	mers	KP202204	2014-XX-XX	west_asia	united_arab_emirates
MERS-CoV_camel/Kenya/C1215/2018	mers	MH734114	2018-03-13	africa	kenya
camel/Riyadh/Ry23N/2014	mers	KT368825	2014-07-XX	west_asia	saudi_arabia
Camel/UAE_3B-C_2014	mers	KY581700	2014-02-18	west_asia	united_arab_emirates
UT-IVO-Mers2	mers	MK905767	2014-11-08	west_asia	iran
Hu/Riyadh-KSA-9614/2017	mers	MG912602	2017-06-12	west_asia	saudi_arabia
Madinah_3a_2013	mers	KJ156950	2013-09-11	west_asia	saudi_arabia
MERS-CoV/KOR/CNUH_SNU/030_06_2015	mers	KT717699	2015-06-08	japan_korea	south_korea
camel/UAE_B93_2015	mers	MF598682	2015-03-XX	west_asia	united_arab_emirates
