strain	virus	assention	date	region	country
Zhejiang.CHN/16.08/2	mumps	KF170918	2008-04-18	china	china
Springdale_730/2016/G	mumps	KY996510	2016-XX-XX	north_america	usa
Ontario.CAN/50.09/1/G	mumps	KY680539	2009-12-13	north_america	canada
Ontario.CAN/13.10/G	mumps	KY006858	2010-03-31	north_america	canada
Ontario.CAN/40.09/1/G	mumps	KY680538	2009-09-28	north_america	canada
Pune.Ind/50.08/C	mumps	KF843893	2008-12-30	south_asia	india
Mass.USA/4.10	mumps	JX287388	2010-01-29	north_america	usa
Manitoba.CAN/47.16/4/G	mumps	BCCDC24	2016-10-25	north_america	canada
California.USA/40.11/G	mumps	KY969482	2011-10-08	north_america	usa
Split.CRO/05.11/G	mumps	JN635498	2011-02-05	europe	croatia
Bedford.GBR/0.89/H	mumps	KF878077	1989-XX-XX	europe	united_kingdom
Springdale_754/2016/G	mumps	KY996512	2016-XX-XX	north_america	usa
Leningrad-3	mumps	JF727652	2010-XX-XX	west_asia	russia
Manitoba.CAN/43.16/5/G	mumps	BCCDC22	2016-10-25	north_america	canada
SP	mumps	DQ649478	2007-07-15	china	china
Ontario.CAN/38.09/2/G	mumps	KY680537	2009-09-17	north_america	canada
Ge9.DEU/0.77/D	mumps	KF878076	1977-XX-XX	europe	germany
Du/CRO05	mumps	EU370207	2005-XX-XX	europe	croatia
New_York.USA/53.09/3	mumps	JX287387	2010-01-07	north_america	usa
New_York.USA/40.09/1	mumps	JX287390	2009-09-21	north_america	usa
