strain	virus	assention	date	region	country
HCoV_OC43/Yamagata.JPN/10.2009_0762	seasonal_corona	LC506764	2009-03-XX	?	japan
HCoV_OC43/Yamagata.JPN/05.2015_0228	seasonal_corona	LC506878	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/25.16_1044	seasonal_corona	LC331091	2016-06-XX	?	japan
OC43/SLO/44656/2014	seasonal_corona	KX059659	2014-04-22	?	slovenia
HCoV_OC43/Yamagata.JPN/05.15_0234	seasonal_corona	LC331073	2015-01-XX	?	japan
HCoV_OC43/Seattle/USA/SC0776/2019	seasonal_corona	MN310478	2019-XX-XX	?	usa
HCoV_OC43/Yamagata.JPN/07.2017_0314	seasonal_corona	LC506924	2017-02-XX	?	japan
OC43/SLO/41165/2014	seasonal_corona	KX059654	2014-01-27	?	slovenia
HCoV_OC43/Yamagata.JPN/48.2010_2644	seasonal_corona	LC506788	2010-12-XX	?	japan
HCoV_OC43/Yamagata.JPN/04.2015_0158	seasonal_corona	LC506865	2015-01-XX	?	japan
HCoV_OC43/Seattle/USA/SC2730/2015	seasonal_corona	KY967359	2015-XX-XX	?	usa
HCoV_OC43/Yamagata.JPN/27.16_1096	seasonal_corona	LC331093	2016-07-XX	?	japan
HCoV_OC43/Yamagata.JPN/43.2010_2385	seasonal_corona	LC506777	2010-10-XX	?	japan
HCoV_OC43/Yamagata.JPN/07.2015_0424	seasonal_corona	LC506908	2015-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/46.2010_2538	seasonal_corona	LC506785	2010-11-XX	?	japan
HCoV_OC43/Yamagata.JPN/51.2017_2650	seasonal_corona	LC506948	2017-12-XX	?	japan
HCoV_OC43/Yamagata.JPN/46.2010_2510	seasonal_corona	LC506782	2010-11-XX	?	japan
HCoV_OC43/Yamagata.JPN/05.2015_0236	seasonal_corona	LC506884	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/14.16_0684	seasonal_corona	LC331080	2016-04-XX	?	japan
HCoV_OC43/Yamagata.JPN/11.16_0552	seasonal_corona	LC331079	2016-03-XX	?	japan
HCoV_OC43/Yamagata.JPN/06.2015_0294	seasonal_corona	LC506893	2015-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/06.2015_0303	seasonal_corona	LC506897	2015-02-XX	?	japan
OC43/human/USA/912_10/1991	seasonal_corona	KF530067	1991-02-07	?	usa
HCoV_OC43/Yamagata.JPN/05.2014_0285	seasonal_corona	LC506826	2014-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/24.16_1002	seasonal_corona	LC331090	2016-06-XX	?	japan
HCoV_OC43/Yamagata.JPN/39.2010_2197	seasonal_corona	LC506773	2010-10-XX	?	japan
HCoV_OC43/Yamagata.JPN/11.2017_0634	seasonal_corona	LC506938	2017-03-XX	?	japan
OC43/human/USA/913_29/1991	seasonal_corona	KF530079	1991-03-14	?	usa
HCoV_OC43/Yamagata.JPN/04.2015_0159	seasonal_corona	LC506866	2015-01-XX	?	japan
OC43/human/USA/872_5/1987	seasonal_corona	KF530086	1987-02-10	?	usa
HCoV_OC43/Yamagata.JPN/07.2017_0306	seasonal_corona	LC506923	2017-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/03.2015_0093	seasonal_corona	LC506848	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/43.2010_2412	seasonal_corona	LC506779	2010-10-XX	?	japan
HCoV_OC43/Yamagata.JPN/03.2015_0088	seasonal_corona	LC506847	2015-01-XX	?	japan
OC43/human/USA/901_33/1990	seasonal_corona	KF530066	1990-01-16	?	usa
HCoV_OC43/Seattle/USA/SC9428/2018	seasonal_corona	MN310476	2019-XX-XX	?	usa
OC43/human/USA/873_19/1987	seasonal_corona	KF530083	1987-03-17	?	usa
HCoV_OC43/Yamagata.JPN/20.16_0885	seasonal_corona	LC331089	2016-05-XX	?	japan
HCoV_OC43/Yamagata.JPN/07.2015_0417	seasonal_corona	LC506906	2015-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/07.2017_0361	seasonal_corona	LC506926	2017-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/05.2015_0216	seasonal_corona	LC506872	2015-01-XX	?	japan
OC43/human/USA/901_54/1990	seasonal_corona	KF530088	1990-01-23	?	usa
HCoV_OC43/Yamagata.JPN/09.2011_0752	seasonal_corona	LC506790	2011-03-XX	?	japan
sloOC43_1	seasonal_corona	KF668028	2011-02-10	?	slovenia
HCoV_OC43/Yamagata.JPN/09.2017_0410	seasonal_corona	LC506931	2017-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/03.2015_0134	seasonal_corona	LC506854	2015-01-XX	?	japan
HCoV_OC43/FRA_EPI/Caen/2010/12	seasonal_corona	KF963241	2010-12-17	?	france
HCoV_OC43/Yamagata.JPN/46.2012_2185	seasonal_corona	LC506810	2012-11-XX	?	japan
OC43/human/USA/008_5/2000	seasonal_corona	KF530092	2000-08-08	?	usa
HCoV_OC43/Yamagata.JPN/20.2017_1370	seasonal_corona	LC506944	2017-05-XX	?	japan
OC43/human/USA/965_6/1996	seasonal_corona	KF530098	1996-05-10	?	usa
HCoV_OC43/Seattle/USA/SC9430/2018	seasonal_corona	MN306053	2019-XX-XX	?	usa
HCoV_OC43/Yamagata.JPN/06.2015_0290	seasonal_corona	LC506891	2015-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/05.2015_0225	seasonal_corona	LC506877	2015-01-XX	?	japan
HCoV_OC43/USA/ACRI_0213/2016	seasonal_corona	MH121121	2016-12-19	?	usa
HCoV_OC43/Yamagata.JPN/06.2014_0296	seasonal_corona	LC506827	2014-02-XX	?	japan
HCoV_OC43/USA/TCNP_00212/2017	seasonal_corona	MF374985	2017-01-17	?	usa
HCoV_OC43/Yamagata.JPN/04.2015_0147	seasonal_corona	LC506860	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/07.2015_0425	seasonal_corona	LC506909	2015-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/11.2015_0604	seasonal_corona	LC506914	2015-03-XX	?	japan
HCoV_OC43/Yamagata.JPN/24.16_1005	seasonal_corona	LC331084	2016-06-XX	?	japan
HCoV_OC43/Yamagata.JPN/06.2017_0300	seasonal_corona	LC506920	2017-02-XX	?	japan
OC43/human/USA/901_41/1990	seasonal_corona	KF530065	1990-01-17	?	usa
HCoV_OC43/Yamagata.JPN/06.15_0350	seasonal_corona	LC331075	2015-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/46.2010_2512	seasonal_corona	LC506783	2010-11-XX	?	japan
HCoV_OC43/Seattle/USA/SC2269/2016	seasonal_corona	KY684759	2016-XX-XX	?	usa
